Observability of peer use of AI,Intention to adopt AI
3.195254015709299,3.193861145795861
3.860757465489678,4.44423385134809
3.4110535042865755,2.7212639769553366
3.1795327319875875,4.443699889938163
2.694619197355619,4.874016107918166
3.5835764522666245,1.9411382168931228
2.75034884505077,3.8876237052150886
4.5670920031283195,5.0
4.854651042004117,3.950306857147482
2.533766075303111,2.9948124747922287
4.166900152330658,4.078882528981028
3.115579679011618,3.3860443008642833
3.2721782443757292,3.455248584036856
4.702386553170644,2.88601352610355
1.2841442327915478,3.8296285452676533
1.3485171988061628,3.793381433826123
1.0808735897613029,1.858549484534272
4.330479382191752,2.8954413735054056
4.1126270037994015,4.672451404567815
4.480048592987277,3.8178262111010985
4.914473368931056,4.721236923309579
4.196634256866894,3.9169214747142753
2.8459174490117274,4.188379712512658
4.122116705145822,4.842291206097575
1.4730977034757329,2.141962319232219
3.5596840853100953,2.581243125882846
1.5734131496361856,1.3786492288461272
4.778675668198336,5.0
3.0873932870002867,2.525154281475319
2.6586477599620943,2.954434820996915
2.058222448418508,2.563195112165457
4.096934757736866,4.119497794989734
2.824601328866194,1.6810808621675777
3.273735795474594,3.92894492264618
1.0751592017454206,3.1260276655326598
3.4705419883035082,3.933977396727218
3.4483828908896856,3.5433334112401917
3.4677359874990277,3.941075511579849
4.774992314058497,4.894340108527956
3.7272811964139336,1.3469502915657885
2.438031602295144,5.0
2.748127815197366,3.8521338423041867
3.7905247837090594,3.3933794864239517
1.2409018865170793,2.3414542556954894
3.6670668617826707,4.419258787990891
3.6825514784726376,3.847802511938397
1.8415302442953636,1.090030180198216
1.5157051906194132,4.814277865507254
2.2617134036967355,3.1284602115144864
2.4548430837704904,4.30113404885296
3.2807870816715186,3.095754056257303
2.7544060538492814,4.944305288996642
4.953495352236905,4.878309134088487
1.4081792429921123,3.3765730566776555
1.8355070243793388,2.023117884593856
1.645238071539985,4.069659441683958
3.6124333018615937,4.577668240257462
2.0131664101591284,4.343468787267904
2.865243091425225,2.944590794967365
1.977702368006411,2.631652445145521
1.6358783345820789,5.0
1.4415005646572205,1.808150256389713
3.6253183578610937,3.7997601468647533
1.5527318053944552,3.9519400152237325
1.786329446720214,3.083866737156422
2.4749006826438564,3.8960053439139957
4.28397291939174,3.885349611090056
1.388405103172245,3.139639696072988
4.351779629995216,3.0582071021490096
1.3843936315758523,4.361264897740964
4.905837860053583,4.469721465755186
2.8746048065908063,2.8998791575643033
4.907044352761348,5.0
3.419382078980184,3.3862010622607683
3.9570543175932067,2.8305521541399195
1.1567511690172827,1.3905614656911367
2.1312278503056383,3.8260106987115012
1.4807862448526756,2.6836062186359113
2.1845607900885797,3.0671095212601585
1.4749108758169762,3.8560611623441075
2.271932717575904,2.1682011676448045
2.65705197805868,2.740952643588343
1.2565899853951374,2.355225073829309
3.7698884774800794,4.092277133366061
3.2664058168263006,3.7058040878553635
2.0615579637577817,2.8588517287460564
3.0929922138667987,3.5988809470812027
1.3757620430337667,2.679698629470605
3.303785982224717,3.081306681810403
4.717184790304856,3.7134209039291033
2.2742758098052946,3.500671202838443
3.6696415198547268,3.1051478462801594
1.5271914496175687,1.7593801430736493
3.865308816474262,3.754629857832465
2.1576243717888044,3.0306047642566654
1.7327654480284673,5.0
3.3460517392403326,3.1170211249491473
1.0804301847499742,3.527117082943507
4.315760116869452,4.990866577097821
1.0187819047701883,1.4700810639892468
3.7112661471849204,4.707336063596779
2.0800318927686594,2.0161296571283644
3.9407760884903795,1.5635821790331903
4.8487541804697525,5.0
1.9950125740798321,1.4293603585148813
3.3046293376713476,4.193748700928007
3.368167725087356,3.147955186944196
3.2890076231634935,5.0
1.8923265305624732,4.06017045993707
4.81099604606794,4.102891469835831
2.7885015144705094,2.848690041902712
4.385634689884512,3.163300158901687
3.7979171012700172,3.5980612209697473
2.1897478034205347,2.9304336593191893
4.255191278809908,3.903688685020953
2.5860229633879386,3.5477403738365947
4.524412788444646,4.937045944949205
3.325091490543435,4.107968394320667
4.526941447419411,3.6628034104727796
3.7701263603110635,2.636862543647143
3.901017119278562,5.0
3.005297527706809,2.957725013808032
4.824334538892895,3.9207316948971087
3.5759607969185496,3.408610159742405
2.6954201942327187,1.7037482264098704
3.4255728565116974,3.372966852982503
1.076772793237334,2.1734811012434903
2.2062992666981973,3.7945530094424176
3.64069414997074,4.600288308137047
2.1603104288417763,3.185340663341262
3.472061715995366,4.736007430566225
2.7150748037830645,3.787654884540562
1.541896256889801,2.8514690849913715
2.193129303824123,3.3513777048336144
3.2798596428050595,3.5716075989282507
3.363491044992693,3.4202733946144956
3.2973009953983152,3.507276647603873
3.6128032794285345,2.850918907612046
3.6084130800067555,4.186710290853926
2.725673741735896,2.5266261779022052
4.586186383404252,5.0
