Perceived benefits of AI,Willingness to adopt AI
2.49816047538945,2.3778237943904097
4.802857225639665,4.468377640165691
3.9279757672456204,3.959775464673818
3.3946339367881464,2.9185733875580753
1.624074561769746,3.6092091317162693
1.6239780813448106,2.634789235885482
1.2323344486727978,1.2224582546220084
4.46470458309974,4.552351413396517
3.404460046972835,2.7425326604337616
3.832290311184182,4.245302118665751
1.0823379771832098,2.772889830930605
4.879639408647977,3.7796952046020285
4.329770563201687,4.682118745288088
1.8493564427131046,2.734041207764805
1.7272998688284025,2.9436410293580364
1.7336180394137353,3.6999344526884164
2.216968971838151,2.504918771056026
3.0990257265289514,2.7047708926629968
2.727780074568463,2.3758413462402657
2.1649165607921677,2.072830233823259
3.447411578889518,3.397898098110523
1.5579754426081673,2.500330911214796
2.1685785941408726,2.839888073839763
2.465447373174767,3.41226011942532
2.8242799368681437,3.0683976845414658
4.140703845572054,4.906117276720517
1.798695128633439,2.227918147772497
3.0569377536544464,5.0
3.36965827544817,3.8408518569678516
1.185801650879991,1.4270447505629966
3.4301794076057535,2.691388278148846
1.6820964947491661,2.6774514823622044
1.260206371941118,1.9175060645948088
4.7955421490133325,4.800991899742864
4.862528132298237,4.674659060549371
4.233589392465845,3.8961810783936714
2.2184550766934827,2.0848710956690106
1.3906884560255355,1.0957406700159822
3.7369321060486276,3.3217067603637207
2.760609974958405,3.618663440250226
1.4881529393791153,2.367401972699985
2.9807076404450807,2.2858286683820093
1.1375540844608736,2.1178857213061777
4.637281608315128,4.4712095790487165
2.0351199264000677,1.9434253482912494
3.650089137415928,3.687163730733904
2.246844304357644,2.7362580146575155
3.0802720847112433,2.4204922048866475
3.1868411173731186,3.5381610561888635
1.7394178221021082,2.7683823963820924
4.878338511058234,5.0
4.100531293444458,4.60099615129444
4.757995766256757,3.3131687751717926
4.579309401710596,3.508487395137089
3.3915999152443406,3.777232633649996
4.687496940092467,4.5927732378968
1.353970008207678,2.4935344855850707
1.7839314496765808,5.0
1.1809091556421523,2.423596125539773
2.3013213230530574,3.524728381649845
2.554709158757928,3.5572680044627365
2.0853961270955836,3.0497734359842763
4.314950036607717,3.7777300518146206
2.427013306774357,3.340296837613132
2.123738038749523,2.0769773142358994
3.170784332632994,3.1118211048407804
1.5636968998990506,1.9253745634560295
4.208787923016159,3.988848289070606
1.2982025747190833,3.7181286187444784
4.947547746402069,3.0898694454190805
4.08897907718663,4.336438951889736
1.7948627261366896,1.2818624076333585
1.0220884684944096,1.5935634290988745
4.261845713819337,4.727228217583338
3.8274293753904685,3.736276519862819
3.9160286721639492,2.992676718912774
4.0850813867437825,3.3528886771666055
1.2961786069363614,2.5723109466241807
2.4338629141770904,2.3020769937295715
1.4634762381005189,2.3535110427107093
4.4524137035023745,4.116920921139166
3.4931925073102317,3.024591036281374
2.3235920994105967,4.244623885156404
1.2542334011440945,2.513910358343387
2.243929286862649,1.2760756400631441
2.300733288106988,2.859979991846002
3.9184247133522563,3.2853570440740505
3.5502298854208525,4.113348162172493
4.548850970305306,3.5910115943894527
2.888859700647797,3.019666102381283
1.4783769837532068,2.5648685950508403
3.85297914889198,4.313405499721032
4.04314019446759,2.986970837575538
3.245108790277985,3.090267672786467
4.083868719818244,3.5203755756728246
2.975182385457563,2.6970344400366666
3.0909313175279762,4.463104698239393
2.7101640734341985,3.2708905639362142
1.1016765069763808,1.0914374313605886
1.4315657079732178,2.8243897589614706
1.125716742746937,3.4747108858394133
3.5456416450551216,4.236479918770529
2.2574239243053067,1.6386180961445342
3.034282764658811,2.852634290728675
4.6302658957043725,5.0
1.9971689165954998,2.0428477915220182
2.641531692142519,3.254838565752147
4.022204554172195,4.356232706529019
1.9151926619664899,1.8377200469342307
1.307919639315172,2.0623216235252984
2.159005811655072,1.0
1.6448851490160177,1.5992062949460881
4.718790609370292,4.076040377928072
4.232481518257668,3.0730151291269356
3.533615026041694,4.648865379158412
4.485842360750871,3.1049817227006056
4.214688307596457,3.6272224930978796
1.7462802355441434,2.471674952493075
4.570235993959911,5.0
3.157368967662603,2.2640389438018325
4.229760620656251,4.758963817521909
4.584365199693973,4.175313218520914
2.2720138998874555,2.024312701195531
1.440207698110707,2.510803281794035
1.9117406501677667,2.623738396507122
2.7084311545050253,2.5661598133270096
4.272059063689973,4.020258669617696
4.442922333025374,3.809321552002753
1.0278085221247628,2.0069815106144744
3.042989210310263,3.6605746746601984
2.669644012595116,4.07208749923667
1.888431241882921,1.603240833207446
1.4794614693347312,3.7051840879402675
2.350460685614512,1.3943287722713913
4.771638815650077,4.1798828873346405
2.292811728083021,3.136293433231507
3.0751624869734644,3.4140466742078055
3.8120758355807114,3.245718112541433
2.454518409517176,2.680661022745728
4.887128330883843,4.0137901941956375
4.849789179768445,3.922811853393172
2.0071291833014566,3.1392128533946346
2.988994023569542,3.412977075024344
2.2035132392670786,2.1831766240558017
2.1393619775098704,3.2575179586344936
1.1475477894181312,2.218064771947049
3.4382573359195874,4.015105604816612
3.010716092915446,3.6174913278832594
1.2059150049999574,1.4594299455045228
2.1145858569464457,2.2200623617383823
4.633063543866615,4.721935556222251
1.9582475626678897,2.940955150284196
1.5795794883648924,2.2605039618949787
2.957811041110252,3.2255501242156064
4.942601816442403,5.0
1.9682210860460017,2.1058793120239
3.688542189623514,3.986749746281841
4.04647846131487,3.6877465739246427
1.9505501759695987,2.356469768601793
3.9128653944474383,4.514248994892919
2.471132530877013,3.414604938744139
3.529223322374318,4.072867438296267
